식품명,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품명,식품중분류명,식품소분류명,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량
떡국_달걀,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,떡국,달걀,해당없음,해당없음,100ml,85,67.2,2.1,0.62,,17.9,0.15,0.3,8,0.22,25,32,178,9,6,37,0.013,0.026,0.222,0.16,0.05,14.75,0.2,,식품의약품안전처,600ml
떡국_소고기_달걀,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,떡국,소고기,달걀,해당없음,100ml,87,120.3,3.3,1.16,,15.87,0.18,0.4,10,0.53,32,78,217,10,6,46,0.035,0.071,0.569,0.25,0.05,17.47,0.39,,식품의약품안전처,600ml
떡국_모듬,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,떡국,모듬,해당없음,해당없음,100ml,86,85.3,2.7,0.87,,17.14,0.17,0.5,17,0.61,31,54,204,9,6,38,0.024,0.046,0.337,0.19,0.05,16.21,0.27,,식품의약품안전처,600ml
떡만두국_고기만두,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,떡만두국,고기만두,해당없음,해당없음,100ml,90,101.9,3.4,1.74,,15.12,0.24,1.2,17,0.83,37,94,169,11,5,67,0.093,0.07,0.508,0.24,0.05,15.25,0.6,,식품의약품안전처,600ml
떡만두국_김치만두,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,떡만두국,김치만두,해당없음,해당없음,100ml,87,70.8,3.1,1.85,,14.56,0.33,1.3,19,0.6,39,95,232,11,4,77,0.059,0.072,0.433,0.35,0.04,12.73,0.57,,식품의약품안전처,600ml
라면,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,라면,해당없음,해당없음,해당없음,100ml,79,1.3,1.5,2.52,,12.19,0.01,0.7,40,0.08,18,38,58,0,0,1,0.014,0.198,0.156,0.13,0,0,1.18,,식품의약품안전처,590ml
라면_김치,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,라면,김치,해당없음,해당없음,100ml,85,13,2.1,2.83,,12.41,0.3,1,45,0.21,29,74,109,9,5,47,0.022,0.215,0.209,0.51,0.04,12.37,1.25,,식품의약품안전처,760ml
라면_달걀,음식,4,외식(재료량 기반 산출함량),03,면 및 만두류,라면,달걀,해당없음,해당없음,100ml,95,8.7,2.6,3.32,,13.16,0.08,0.8,46,0.24,32,53,72,11,9,16,0.021,0.237,0.175,0.2,0.08,23,1.45,,식품의약품안전처,642ml
오징어 덮밥_채소,음식,4,외식(재료량 기반 산출함량),01,밥류,오징어 덮밥,채소,해당없음,해당없음,100ml,91,54.6,5.1,1.33,,14.49,1.76,1.1,10,0.18,73,142,137,20,0,243,0.044,0.046,0.193,1.67,1.16,44.43,0.25,,식품의약품안전처,900ml
옥수수밥,음식,4,외식(재료량 기반 산출함량),01,밥류,옥수수밥,해당없음,해당없음,해당없음,100ml,113,5.8,2.1,0.34,,24.39,0.25,0.6,2,0.09,33,33,4,0,0,0,0.041,0.01,0.375,0.14,0,0,0.09,,식품의약품안전처,450ml
완두콩밥,음식,4,외식(재료량 기반 산출함량),01,밥류,완두콩밥,해당없음,해당없음,해당없음,100ml,114,5.6,2.2,0.33,,24.47,0.14,0.7,3,0.12,35,36,1,1,0,8,0.049,0.011,0.405,0.26,0,0,0.09,,식품의약품안전처,250ml
유부 초밥,음식,4,외식(재료량 기반 산출함량),01,밥류,유부 초밥,해당없음,해당없음,해당없음,100ml,199,11,5.8,6.92,,27.04,2.2,0.9,89,0.87,94,52,134,0,0,1,0.057,0.055,0.449,0.02,0,0,1.11,,식품의약품안전처,300ml
육회비빔밥,음식,4,외식(재료량 기반 산출함량),01,밥류,육회비빔밥,해당없음,해당없음,해당없음,100ml,115,19.9,3.9,2.88,,17.66,0.71,0.9,27,0.7,58,78,77,20,9,140,0.055,0.053,0.425,0.16,0.07,24.17,0.65,,식품의약품안전처,700ml
장어 덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,장어 덮밥,해당없음,해당없음,해당없음,100ml,95,13.6,3.5,1.99,,15.04,0.42,0.4,12,0.33,46,28,80,68,65,35,0.025,0.037,0.565,0.12,0.6,23.52,0.48,,식품의약품안전처,500ml
장어 초밥,음식,4,외식(재료량 기반 산출함량),01,밥류,장어 초밥,해당없음,해당없음,해당없음,100ml,95,13.6,3.5,1.99,,15.04,0.42,0.4,12,0.33,46,28,80,68,65,35,0.025,0.037,0.565,0.12,0.6,23.52,0.48,,식품의약품안전처,500ml
팥밥,음식,4,외식(재료량 기반 산출함량),01,밥류,팥밥,해당없음,해당없음,해당없음,100ml,140,5,3.2,0.41,,29.53,0.19,1.3,5,0.29,51,80,1,0,0,0,0.059,0.018,0.431,0.16,0,0,0.11,,식품의약품안전처,250ml
해물 덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,해물 덮밥,해당없음,해당없음,해당없음,100ml,78,19.5,3.8,0.39,,14.15,0.69,0.6,7,0.29,56,77,68,10,0,119,0.035,0.017,0.326,1.9,0.53,26.88,0.1,,식품의약품안전처,572ml
혼합잡곡밥,음식,4,외식(재료량 기반 산출함량),01,밥류,혼합잡곡밥,해당없음,해당없음,해당없음,100ml,118,4.4,2.3,0.22,,25.63,0.07,0.7,3,0.53,38,67,2,0,0,2,0.073,0.015,0.454,0.12,0,0,0.06,,식품의약품안전처,250ml
계란빵,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,계란빵,해당없음,해당없음,해당없음,100ml,158,19.3,6,1.99,,27.2,1.35,0.9,64,0.7,129,64,193,24,24,0,0.067,0.08,0.144,0.06,0.21,60.66,0.6,,식품의약품안전처,150ml
츄러스,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,츄러스,해당없음,해당없음,해당없음,100ml,185,10,4.2,4.29,,30.74,3.01,1,65,0.41,111,52,303,7,7,0,0.061,0.048,0.16,0.09,0.07,12.09,0.78,,식품의약품안전처,140ml
피자,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,피자,해당없음,해당없음,해당없음,100ml,153,38.7,7.8,4.77,,21.07,3.1,1.6,45,0.53,98,210,179,30,18,138,0.104,0.13,1.222,6.88,0.04,15.53,2.31,,식품의약품안전처,210ml
햄버거_돼지고기,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,햄버거,돼지고기,해당없음,해당없음,100ml,204,43.5,9.1,9.69,,19.35,2.85,1.6,17,0.7,88,154,408,10,7,40,0.154,0.185,1.245,1.7,0.06,26.87,3.26,,식품의약품안전처,210ml
햄버거_치킨,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,햄버거,치킨,해당없음,해당없음,100ml,123,22.3,7.5,4.06,,13.92,2.37,3.6,12,0.56,62,110,265,14,5,116,0.059,0.064,0.869,0.41,0,14.32,1.63,,식품의약품안전처,366ml
호떡,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,호떡,해당없음,해당없음,해당없음,100ml,147,2.3,2.7,5.91,,20.14,4.76,0.9,5,0.28,30,46,2,0,0,0,0.075,0.026,0.375,0.04,0.01,0,0.86,,식품의약품안전처,104ml
감자샐러드 샌드위치,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,감자샐러드 샌드위치,해당없음,해당없음,해당없음,100ml,108,34.4,3.1,4.73,,13.39,2.27,1.3,12,0.38,37,105,217,20,10,125,0.049,0.098,0.373,1.87,0.08,24.2,1.2,,식품의약품안전처,380ml
소고기 샌드위치,음식,4,외식(재료량 기반 산출함량),02,빵 및 과자류,소고기 샌드위치,해당없음,해당없음,해당없음,100ml,203,37.6,6.9,10.61,,19.7,2.93,1.2,21,0.73,71,117,328,23,20,36,0.046,0.094,0.746,3.37,0.07,29.83,4.33,,식품의약품안전처,250ml
메기 매운탕,음식,4,외식(재료량 기반 산출함량),06,찌개 및 전골류,메기 매운탕,해당없음,해당없음,해당없음,100ml,59,62.1,4,1.46,,7.39,0.69,1,19,0.49,55,153,264,26,9,200,0.073,0.073,0.75,1.56,0.75,10.42,0.42,,식품의약품안전처,760ml
회덮밥_참치,음식,4,외식(재료량 기반 산출함량),01,밥류,회덮밥,참치,해당없음,해당없음,100ml,108,32.8,4.9,1.78,,17.65,1.45,1,17,0.55,62,144,84,27,0,325,0.045,0.046,0.315,2.26,0.75,1.05,0.54,,식품의약품안전처,572ml
흑미밥,음식,4,외식(재료량 기반 산출함량),01,밥류,흑미밥,해당없음,해당없음,해당없음,100ml,120,4.3,2.3,0.37,,25.73,0.17,0.7,3,0.09,38,33,1,0,0,1,0.042,0.01,0.38,0,0,0,0.1,,식품의약품안전처,300ml
강낭콩밥,음식,4,외식(재료량 기반 산출함량),01,밥류,강낭콩밥,해당없음,해당없음,해당없음,100ml,111,6.1,2.2,0.15,,24.21,0.01,0.8,4,0.5,36,78,2,0,0,3,0.084,0.011,0.42,0.08,0,0,0.05,,식품의약품안전처,300ml
검정콩밥,음식,4,외식(재료량 기반 산출함량),01,밥류,검정콩밥,해당없음,해당없음,해당없음,100ml,136,4.7,3.3,0.79,,27.6,0.35,1.2,7,0.3,50,81,1,0,0,3,0.036,0.029,0.396,0.13,0,0,0.17,,식품의약품안전처,250ml
굴 국밥,음식,4,외식(재료량 기반 산출함량),01,밥류,굴 국밥,해당없음,해당없음,해당없음,100ml,63,12,1.6,0.32,,12.79,0.46,0.5,23,0.49,26,46,144,1,0,9,0.036,0.014,0.168,0.36,0,0.58,0.07,,식품의약품안전처,809ml
굴밥,음식,4,외식(재료량 기반 산출함량),01,밥류,굴밥,해당없음,해당없음,해당없음,100ml,122,44.5,4.3,1.95,,21.44,0.66,1,83,1.79,67,126,126,13,2,135,0.078,0.053,0.346,1.18,0.15,10.38,0.36,,식품의약품안전처,500ml
김치 볶음밥_모듬,음식,4,외식(재료량 기반 산출함량),01,밥류,김치 볶음밥,모듬,해당없음,해당없음,100ml,130,29.1,3.8,2.79,,21.5,1.01,1.7,15,0.34,62,132,152,9,1,95,0.064,0.046,0.866,2.18,0.2,6.45,0.59,,식품의약품안전처,320ml
낙지 덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,낙지 덮밥,해당없음,해당없음,해당없음,100ml,92,53.6,4.5,1.28,,15.44,1.76,1.2,13,0.45,53,126,187,20,0,243,0.041,0.043,0.232,1.63,0,3.82,0.21,,식품의약품안전처,900ml
낙지 비빔밥,음식,4,외식(재료량 기반 산출함량),01,밥류,낙지 비빔밥,해당없음,해당없음,해당없음,100ml,88,48.8,4.3,1.31,,14.72,1.25,1,14,0.45,51,107,176,23,3,247,0.04,0.051,0.217,1.42,0.03,9.72,0.24,,식품의약품안전처,900ml
닭고기 덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,닭고기 덮밥,해당없음,해당없음,해당없음,100ml,89,20.3,4.3,0.38,,16.36,0.45,0.6,4,0.22,36,78,67,14,6,97,0.048,0.04,0.733,0.57,0,7.95,0.09,,식품의약품안전처,572ml
돼지머리국밥,음식,4,외식(재료량 기반 산출함량),01,밥류,돼지머리국밥,해당없음,해당없음,해당없음,100ml,72,11,2.1,1.16,,12.55,0.41,0.5,4,0.11,22,35,143,1,0,9,0.03,0.013,0.238,0.36,0.03,2.93,0.41,,식품의약품안전처,809ml
모듬 김밥,음식,4,외식(재료량 기반 산출함량),01,밥류,모듬 김밥,해당없음,해당없음,해당없음,100ml,113,50.9,4.2,2.75,,17.49,0.7,1.3,24,0.38,61,91,184,38,9,344,0.046,0.069,0.622,3.98,0.24,25.86,0.69,,식품의약품안전처,400ml
모듬 초밥,음식,4,외식(재료량 기반 산출함량),01,밥류,모듬 초밥,해당없음,해당없음,해당없음,100ml,189,37.4,10,3.14,,28.65,2.45,0.7,35,1.09,131,129,394,103,103,0,0.125,0.108,1.361,0.68,2.53,63.44,0.9,,식품의약품안전처,245ml
무밥,음식,4,외식(재료량 기반 산출함량),01,밥류,무밥,해당없음,해당없음,해당없음,100ml,177,37.1,3.7,1.06,,36.68,0.79,1.3,13,0.28,64,141,198,0,0,6,0.065,0.09,0.592,2.57,0,0,0.21,,식품의약품안전처,246.2
버섯 덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,버섯 덮밥,해당없음,해당없음,해당없음,100ml,101,21.7,2.6,1.63,,18.47,0.54,0.9,5,0.26,39,77,63,9,1,97,0.033,0.052,0.781,0.9,0,4.14,0.64,,식품의약품안전처,572ml
비빔 잡곡밥,음식,4,외식(재료량 기반 산출함량),01,밥류,비빔 잡곡밥,해당없음,해당없음,해당없음,100ml,138,17.4,3.6,2.12,,25.66,0.68,2.1,21,0.56,67,105,93,22,6,185,0.057,0.071,0.447,1.19,0.07,16.33,0.44,,식품의약품안전처,300ml
소고기 국밥,음식,4,외식(재료량 기반 산출함량),01,밥류,소고기 국밥,해당없음,해당없음,해당없음,100ml,66,11.5,2.3,0.56,,12.54,0.41,0.5,4,0.21,28,46,124,1,0,9,0.031,0.016,0.306,0.37,0,2.7,0.2,,식품의약품안전처,809ml
양송이 덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,양송이 덮밥,해당없음,해당없음,해당없음,100ml,93,24.2,1.9,0.65,,19.64,1.27,0.7,4,0.42,36,117,46,11,0,129,0.057,0.067,0.887,0.95,0,0,0.12,,식품의약품안전처,572ml
열무 비빔밥,음식,4,외식(재료량 기반 산출함량),01,밥류,열무 비빔밥,해당없음,해당없음,해당없음,100ml,84,20.1,2.5,0.51,,16.86,0.61,0.9,20,0.25,34,89,112,15,0,184,0.042,0.04,0.39,0.55,0,1.94,0.17,,식품의약품안전처,600ml
잡곡밥_현미,음식,4,외식(재료량 기반 산출함량),01,밥류,잡곡밥,현미,해당없음,해당없음,100ml,132,4.8,2.9,0.49,,28.08,0.15,1.1,6,0.58,54,92,3,0,0,2,0.087,0.024,0.594,0.08,0,0,0.11,,식품의약품안전처,300ml
잡채밥,음식,4,외식(재료량 기반 산출함량),01,밥류,잡채밥,해당없음,해당없음,해당없음,100ml,113,18.8,3.1,2.08,,19.65,0.61,0.7,9,0.37,41,90,81,27,0,319,0.064,0.04,0.475,1.96,0.02,3.49,0.4,,식품의약품안전처,572ml
잡탕밥,음식,4,외식(재료량 기반 산출함량),01,밥류,잡탕밥,해당없음,해당없음,해당없음,100ml,115,23.6,5.5,1.84,,18.63,0.27,0.8,8,0.29,74,120,88,2,0,18,0.066,0.057,0.701,0.63,0.53,30.41,0.37,,식품의약품안전처,550ml
주먹밥,음식,4,외식(재료량 기반 산출함량),01,밥류,주먹밥,해당없음,해당없음,해당없음,100ml,135,4.1,2.3,2.09,,25.52,0.88,0.7,10,0.15,39,32,105,0,0,0,0.034,0.037,0.361,0,0,0,0.36,,식품의약품안전처,291ml
주먹밥_배추김치,음식,4,외식(재료량 기반 산출함량),01,밥류,주먹밥,배추김치,해당없음,해당없음,100ml,106,41.2,2.39,1.3,,20.81,0.79,1.2,16,0.42,29,56,144,8,0,98,0.031,0.05,0.323,0.99,0,0,0.19,,식품의약품안전처,320ml
주먹밥_참치,음식,4,외식(재료량 기반 산출함량),01,밥류,주먹밥,참치,해당없음,해당없음,100ml,131,39.6,4.74,2.71,,21.16,0.63,0.8,13,1.05,40,59,150,6,0,75,0.027,0.048,1.206,0.49,0.58,3.98,0.38,,식품의약품안전처,300ml
짜장밥,음식,4,외식(재료량 기반 산출함량),01,밥류,짜장밥,해당없음,해당없음,해당없음,100ml,93,45.9,2.85,1.94,,15.58,2.14,1.1,11,0.36,36,87,180,7,5,29,0.044,0.07,0.324,2.31,0.07,13.49,0.43,,식품의약품안전처,520ml
짬뽕밥,음식,4,외식(재료량 기반 산출함량),01,밥류,짬뽕밥,해당없음,해당없음,해당없음,100ml,48,37.9,2.2,0.85,,7.6,0.56,0.6,10,0.42,34,57,89,10,2,92,0.017,0.022,0.214,1.27,0.21,13.49,0.21,,식품의약품안전처,1347m
차조밥,음식,4,외식(재료량 기반 산출함량),01,밥류,차조밥,해당없음,해당없음,해당없음,100ml,120,4.2,2.3,0.4,,25.66,0.17,0.8,3,0.15,38,34,1,0,0,0,0.051,0.011,0.353,0,0,0,0.1,,식품의약품안전처,300ml
참치덮밥,음식,4,외식(재료량 기반 산출함량),01,밥류,참치덮밥,해당없음,해당없음,해당없음,100ml,108,51.4,5.8,2.13,,15.91,2.05,1.2,12,1.44,44,122,341,15,0,181,0.031,0.058,1.848,1.65,0.98,6.14,0.28,,식품의약품안전처,580ml
참치회덮밥_양념장,음식,4,외식(재료량 기반 산출함량),01,밥류,참치회덮밥,양념장,해당없음,해당없음,100ml,76,37.4,4.73,0.81,,12.14,1.65,0.7,10,0.46,49,101,88,27,5,265,0.035,0.037,1.648,1.19,0.76,7.44,0.19,,식품의약품안전처,600ml
충무김밥,음식,4,외식(재료량 기반 산출함량),01,밥류,충무김밥,해당없음,해당없음,해당없음,100ml,128,30,3.5,1.9,,23.59,0.87,1.5,28,0.4,55,143,186,65,6,709,0.04,0.063,0.487,5.22,0.05,15.35,0.39,,식품의약품안전처,327ml
카레라이스_돼지고기,음식,4,외식(재료량 기반 산출함량),01,밥류,카레라이스,돼지고기,해당없음,해당없음,100ml,90,37.3,2.8,1.65,,15.73,1.3,0.9,6,0.41,30,101,76,15,0,178,0.07,0.026,0.435,1.25,0.03,3.44,0.59,,식품의약품안전처,600ml
카레라이스_소고기,음식,4,외식(재료량 기반 산출함량),01,밥류,카레라이스,소고기,해당없음,해당없음,100ml,113,18.9,2.7,2.48,,19.28,0.88,0.8,8,0.29,36,101,298,17,0,204,0.08,0.021,0.418,1.2,0,1.98,0.79,,식품의약품안전처,572ml
카레라이스_채소,음식,4,외식(재료량 기반 산출함량),01,밥류,카레라이스,채소,해당없음,해당없음,100ml,95,48.1,2.09,1.18,,18.96,1.82,1.2,9,0.47,25,107,94,15,0,183,0.049,0.019,0.276,1.92,0,0.06,0.5,,식품의약품안전처,650ml
콩나물 국밥,음식,4,외식(재료량 기반 산출함량),01,밥류,콩나물 국밥,해당없음,해당없음,해당없음,100ml,60,78.1,2.66,0.73,,10.69,0.42,0.8,22,0.43,36,54,58,10,8,29,0.03,0.049,0.387,0.33,0.11,19.77,0.2,,식품의약품안전처,830ml
콩나물 국밥,음식,4,외식(재료량 기반 산출함량),01,밥류,콩나물 국밥,해당없음,해당없음,해당없음,100ml,59,78.5,2.6,0.84,,10.22,0.22,0.7,22,0.32,36,52,57,9,7,29,0.029,0.039,0.323,0.33,0.07,18.69,0.22,,식품의약품안전처,830ml
콩나물밥_돼지고기,음식,4,외식(재료량 기반 산출함량),01,밥류,콩나물밥,돼지고기,해당없음,해당없음,100ml,91,20.1,3.3,0.84,,17.21,0.21,0.7,11,0.24,47,80,89,2,0,17,0.066,0.058,0.489,0.33,0.01,2.38,0.21,,식품의약품안전처,572ml
현미밥,음식,4,외식(재료량 기반 산출함량),01,밥류,현미밥,해당없음,해당없음,해당없음,100ml,120,4.2,2.3,0.38,,25.75,0.18,0.7,2,0.12,39,35,1,0,0,0,0.039,0.01,0.392,0,0,0,0.1,,식품의약품안전처,300ml
볶음밥_참치,음식,4,외식(재료량 기반 산출함량),01,밥류,볶음밥,참치,해당없음,해당없음,100ml,120,53.3,6.58,2.72,,16.4,1.25,0.8,12,1.43,54,91,221,22,7,175,0.032,0.052,1.778,1.4,1.02,24.21,0.49,,식품의약품안전처,510ml
볶음밥_채소,음식,4,외식(재료량 기반 산출함량),01,밥류,볶음밥,채소,해당없음,해당없음,100ml,115,25.5,2.9,1.69,,21.37,0.76,1.2,8,0.27,46,104,107,17,3,165,0.05,0.029,0.462,2.64,0.03,9.12,0.36,,식품의약품안전처,300ml
볶음밥_해물,음식,4,외식(재료량 기반 산출함량),01,밥류,볶음밥,해물,해당없음,해당없음,100ml,106,50.1,5.32,2.19,,15.38,1.08,0.7,13,0.71,69,76,140,27,12,182,0.032,0.065,0.467,0.93,0.57,51.87,0.54,,식품의약품안전처,500ml
볶음밥_맛살,음식,4,외식(재료량 기반 산출함량),01,밥류,볶음밥,맛살,해당없음,해당없음,100ml,134,24.6,3.5,2.07,,24.28,1.04,0.9,37,0.26,50,63,243,24,6,218,0.041,0.031,0.433,0.74,0.05,16.5,0.42,,식품의약품안전처,400ml
비빔밥,음식,4,외식(재료량 기반 산출함량),01,밥류,비빔밥,해당없음,해당없음,해당없음,100ml,133,36,4.5,4.64,,17.68,1.1,1.1,16,0.63,66,158,134,67,13,646,0.056,0.11,0.507,3.16,0.1,34.15,1.34,,식품의약품안전처,530ml
비빔밥_묵_양념장,음식,4,외식(재료량 기반 산출함량),01,밥류,비빔밥,묵,양념장,해당없음,100ml,96,44,3.09,2.07,,16.34,1.44,1.3,20,0.61,48,142,265,56,10,544,0.066,0.079,0.419,2.18,0.15,25.66,0.42,,식품의약품안전처,580ml
비빔밥_참치_양념장,음식,4,외식(재료량 기반 산출함량),01,밥류,비빔밥,참치,양념장,해당없음,100ml,100,50.3,4.82,1.8,,16.11,1.72,1.1,18,1.06,49,121,192,34,7,318,0.041,0.065,1.111,1.85,0.62,21.05,0.35,,식품의약품안전처,600ml
삼각김밥,음식,4,외식(재료량 기반 산출함량),01,밥류,삼각김밥,해당없음,해당없음,해당없음,100ml,185,11,4.8,4.4,,30.58,0.24,1.2,11,0.3,64,82,179,13,1,148,0.043,0.051,1.419,1.44,0.47,3.92,0.67,,식품의약품안전처,94.5m
수수밥,음식,4,외식(재료량 기반 산출함량),01,밥류,수수밥,해당없음,해당없음,해당없음,100ml,122,4.3,2.4,0.4,,26,0.17,0.9,2,0.13,39,36,1,0,0,0,0.042,0.009,0.371,0.01,0,0,0.1,,식품의약품안전처,350ml
알밥,음식,4,외식(재료량 기반 산출함량),01,밥류,알밥,해당없음,해당없음,해당없음,100ml,86,34.3,2.3,1.45,,15.67,0.47,0.8,11,0.21,30,50,151,14,2,141,0.026,0.032,0.187,1.17,0.45,20.38,0.29,,식품의약품안전처,500ml
영양돌솥밥,음식,4,외식(재료량 기반 산출함량),01,밥류,영양돌솥밥,해당없음,해당없음,해당없음,100ml,119,6.9,2.43,0.44,,25.29,0.58,0.9,5,0.56,44,95,2,3,0,31,0.077,0.024,0.482,0.64,0,0,0.08,,식품의약품안전처,350ml
오곡밥,음식,4,외식(재료량 기반 산출함량),01,밥류,오곡밥,해당없음,해당없음,해당없음,100ml,144,5.1,3.4,0.65,,29.8,0.25,1.5,6,0.38,59,87,123,0,0,1,0.094,0.021,0.488,0.14,0,0,0.14,,식품의약품안전처,276ml
오므라이스,음식,4,외식(재료량 기반 산출함량),01,밥류,오므라이스,해당없음,해당없음,해당없음,100ml,117,44.6,3.64,3.33,,17.22,2.5,0.8,12,0.5,50,87,211,35,20,187,0.045,0.088,0.347,1.75,0.26,48.8,0.75,,식품의약품안전처,450ml
우럭회덮밥_양념장,음식,4,외식(재료량 기반 산출함량),01,밥류,우럭회덮밥,양념장,해당없음,해당없음,100ml,67,38.9,3.49,0.77,,11.47,1.55,0.8,15,0.33,45,109,64,26,0,314,0.035,0.058,0.185,1.26,0.6,1.85,0.14,,식품의약품안전처,750ml
율무밥,음식,4,외식(재료량 기반 산출함량),01,밥류,율무밥,해당없음,해당없음,해당없음,100ml,118,4.1,2.2,0.17,,25.56,0.01,0.3,2,0.48,33,58,2,0,0,1,0.073,0.009,0.407,0,0,0,0.05,,식품의약품안전처,270ml
잡곡밥,음식,4,외식(재료량 기반 산출함량),01,밥류,잡곡밥,해당없음,해당없음,해당없음,100ml,131,4.7,3.1,0.7,,27.13,0.31,1.4,7,0.31,49,74,1,0,0,2,0.037,0.025,0.389,0.1,0,0,0.16,,식품의약품안전처,250ml
잡곡밥_보리,음식,4,외식(재료량 기반 산출함량),01,밥류,잡곡밥,보리,해당없음,해당없음,100ml,137,4.9,3.1,0.65,,28.75,0.28,1.5,6,0.29,55,69,1,0,0,1,0.054,0.02,0.449,0.09,0,0,0.15,,식품의약품안전처,300ml
